dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,source_of_data,data_publicity,doi,wwf_biome
48917,SURUSOO,27319,Surusoo bog,22.42306,58.52611,43,Raised Bog,Europe,Estonia,Europe,41,202.5,8406,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/G9JK-3257,Temperate broadleaf and mixed forests
48919,SURUSOO,27320,Surusoo bog,22.42306,58.52611,43,Raised Bog,Europe,Estonia,Europe,41,203,8408,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/6SYE-C988,Temperate broadleaf and mixed forests
48921,SURUSOO,27321,Surusoo bog,22.42306,58.52611,43,Raised Bog,Europe,Estonia,Europe,41,197.5,8405,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/YTB8-KJ43,Temperate broadleaf and mixed forests
48923,SURUSOO,27322,Surusoo bog,22.42306,58.52611,43,Raised Bog,Europe,Estonia,Europe,41,197,8408,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/47K2-XV64,Temperate broadleaf and mixed forests
48928,VEDRUKA,27325,Vedruka,22.06158,58.33007,21,Raised Bog,Europe,Estonia,Europe,86,-11,7966.5,13,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/93QR-E085,Temperate broadleaf and mixed forests
49636,EIPURS,27645,Eipurs bog,24.61667,57.24806,49,Bog,Europe,Latvia,Europe,42,-43,8447,10,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/EJ80-WQ55,Temperate broadleaf and mixed forests
49642,KC081,27648,Lake Kuzi,25.3329,57.03001,192,Lacustrine,Europe,Latvia,Europe,69,0,8422,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/EDX5-6F83,Temperate broadleaf and mixed forests
49654,PANTENE,27653,Pantene Mire,25.21806,57.86306,55,Bog,Europe,Latvia,Europe,27,603,8477.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/WK3Y-A183,Temperate broadleaf and mixed forests
49656,SARNATE,27654,Sarnate,21.44083,57.10861,7,Bog,Europe,Latvia,Europe,28,-32,8488,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/27CX-NB93,Temperate broadleaf and mixed forests
49658,SVETI,27655,Svetinu lake,27.14944,56.76028,95,Lacustrine,Europe,Latvia,Europe,37,0,8429,10,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/ZNR8-K992,Temperate broadleaf and mixed forests
49660,VIKIM,27656,Viki Mire,22.91472,56.51722,119,Mire,Europe,Latvia,Europe,29,177.5,8401,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/0GP0-SK93,Temperate broadleaf and mixed forests
52082,LAIH,28072,Laihalampi,26.08083,61.48833,137,Lacustrine,Europe,Finland,Europe,118,97,8470,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/T585-EP25,Boreal forests/taiga
52088,TOSK,28074,Toskaljarvi,21.46667,69.2,704,Lacustrine,Europe,Finland,Europe,147,3,8462,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/C29P-TQ20,Boreal forests/taiga
52214,BAD5,28144,Lake Badsjön,18.79667,68.34472,400,Lacustrine,Europe,Sweden,Europe,36,17,8335,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/HNMB-N887,Tundra
